City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambamarca,PE,-6.6833,-78.5333,60.57,81,94,4.36,light rain
1,Cidreira,BR,-30.1811,-50.2056,74.91,89,100,3.87,overcast clouds
2,Kamaishi,JP,39.2667,141.8833,26.31,69,46,9.1,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,60.91,59,75,21.85,broken clouds
4,Saint-Philippe,RE,-21.3585,55.7679,80.19,84,100,19.01,light rain
5,Muros,ES,42.7762,-9.0603,51.24,72,0,11.81,clear sky
6,Kungurtug,RU,50.5994,97.5228,-13.86,95,73,1.25,broken clouds
7,Sinop,TR,41.7711,34.8709,28.72,80,100,11.1,overcast clouds
8,Hilo,US,19.7297,-155.09,75.79,80,100,5.75,overcast clouds
9,New Norfolk,AU,-42.7826,147.0587,63.66,61,96,2.42,overcast clouds
10,Esperance,AU,-33.8667,121.9,66.27,68,5,17.65,clear sky
11,Sabang,ID,5.8933,95.3214,80.83,75,96,11.16,overcast clouds
12,Albany,US,42.6001,-73.9662,17.89,53,3,3.0,clear sky
13,Makariv,UA,50.4641,29.8113,32.18,81,100,12.21,overcast clouds
14,Waipawa,NZ,-41.4122,175.5153,55.45,95,100,16.62,light rain
15,Kodiak,US,57.79,-152.4072,36.91,87,100,3.44,light rain
16,Ponta Do Sol,PT,32.6667,-17.1,66.83,55,4,11.32,clear sky
17,Kyrylivka,UA,46.3759,35.3675,37.0,94,100,15.97,overcast clouds
18,Busselton,AU,-33.65,115.3333,66.04,90,18,6.85,few clouds
19,Kropotkin,RU,45.4375,40.5756,23.77,90,22,4.32,few clouds
20,Lagoa,PT,39.05,-27.9833,58.96,74,17,17.58,few clouds
21,Roxana,CR,10.2753,-83.7513,92.21,52,0,6.6,clear sky
22,Karakol,KG,42.4907,78.3936,7.83,58,9,8.63,clear sky
23,Pacific Grove,US,36.6177,-121.9166,69.58,50,0,1.99,clear sky
24,Rikitea,PF,-23.1203,-134.9692,79.09,73,96,10.54,overcast clouds
25,Hofn,IS,64.2539,-15.2082,27.19,61,72,11.83,broken clouds
26,Alice Springs,AU,-23.7,133.8833,62.15,82,0,0.0,clear sky
27,Batagay,RU,67.6333,134.6333,-41.33,99,100,1.05,overcast clouds
28,Bilibino,RU,68.0546,166.4372,-16.06,90,13,4.7,few clouds
29,Cabo San Lucas,MX,22.8909,-109.9124,75.51,62,20,5.01,few clouds
30,Tasiilaq,GL,65.6145,-37.6368,17.76,59,97,10.22,overcast clouds
31,Jamestown,US,42.097,-79.2353,19.04,53,20,4.61,few clouds
32,Saldanha,ZA,-33.0117,17.9442,67.42,75,34,4.14,scattered clouds
