City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-01-30 06:25:59,-21.2,-175.2,81.45,77,95,12.71
1,Port Elizabeth,ZA,2022-01-30 06:26:00,-33.918,25.5701,72.1,78,0,4.61
2,Robertson,US,2022-01-30 06:26:00,36.5167,-86.8667,31.77,55,100,6.91
3,Erdenet,MN,2022-01-30 06:26:00,49.0333,104.0833,4.5,81,45,3.94
4,Punta Arenas,CL,2022-01-30 06:22:47,-53.15,-70.9167,44.71,70,0,13.8
5,North Bend,US,2022-01-30 06:26:00,43.4065,-124.2243,46.13,98,75,4.61
6,Georgetown,MY,2022-01-30 06:24:29,5.4112,100.3354,93.13,67,20,1.01
7,Tongchuan,CN,2022-01-30 06:26:01,35.0806,109.0897,35.91,68,19,1.48
8,Iqaluit,CA,2022-01-30 06:26:01,63.7506,-68.5145,-15.07,70,20,3.44
9,Hermanus,ZA,2022-01-30 06:26:01,-34.4187,19.2345,71.91,77,14,13.29
10,Albany,US,2022-01-30 06:26:02,42.6001,-73.9662,5.81,53,100,14.0
11,Araouane,ML,2022-01-30 06:26:02,18.9048,-3.5265,66.33,14,52,13.38
12,Fairbanks,US,2022-01-30 06:26:02,64.8378,-147.7164,-21.98,71,0,3.44
13,Bluff,NZ,2022-01-30 06:26:02,-46.6,168.3333,64.8,90,100,8.7
14,Qaanaaq,GL,2022-01-30 06:26:03,77.484,-69.3632,-7.38,84,99,7.14
15,Sokolo,ML,2022-01-30 06:26:03,14.7328,-6.1219,69.66,17,16,13.11
16,Kolosovka,RU,2022-01-30 06:26:03,56.4678,73.611,8.15,86,100,10.65
17,Nome,US,2022-01-30 06:26:03,64.5011,-165.4064,-3.84,65,0,0.0
18,Saskylakh,RU,2022-01-30 06:26:04,71.9167,114.0833,-19.61,100,99,3.24
19,Ushuaia,AR,2022-01-30 06:24:53,-54.8,-68.3,42.46,93,75,4.61
20,Mollendo,PE,2022-01-30 06:26:04,-17.0231,-72.0147,67.95,84,40,2.44
21,Tezu,IN,2022-01-30 06:26:04,27.9167,96.1667,68.86,29,0,4.32
22,Maarianhamina,AX,2022-01-30 06:26:04,60.0973,19.9348,31.86,93,100,24.16
23,Nouadhibou,MR,2022-01-30 06:26:05,20.931,-17.0347,62.58,82,100,14.97
24,Mataura,NZ,2022-01-30 06:26:05,-46.1927,168.8643,64.47,89,100,2.82
25,Kibre Mengist,ET,2022-01-30 06:26:05,5.8833,38.9833,67.33,24,88,4.09
26,Rikitea,PF,2022-01-30 06:26:05,-23.1203,-134.9692,76.86,65,94,6.62
27,Norman Wells,CA,2022-01-30 06:26:06,65.282,-126.8329,-25.56,68,40,4.61
28,Lazaro Cardenas,MX,2022-01-30 06:26:06,17.9583,-102.2,72.81,80,0,4.52
29,Sao Filipe,CV,2022-01-30 06:26:06,14.8961,-24.4956,70.2,74,82,12.17
30,Norfolk,US,2022-01-30 06:26:07,42.1668,-71.2495,13.03,86,0,1.01
31,Harper,LR,2022-01-30 06:26:07,4.375,-7.7169,77.0,88,30,2.68
32,Esperance,AU,2022-01-30 06:26:07,-33.8667,121.9,94.84,47,2,17.6
33,Kaseda,JP,2022-01-30 06:26:07,31.4167,130.3167,49.23,56,100,13.6
34,Terney,RU,2022-01-30 06:26:08,45.0503,136.6092,11.95,53,3,13.18
35,Soldotna,US,2022-01-30 06:26:08,60.4878,-151.0583,21.22,92,0,6.91
